HEAD;1
RISKRELATED;1
MOTIVATIONS;1
DETECTED;1
T;2
INVESTIGATORY;1
62/170;1
MOVED;1
“ESAS”;1
METRICS;1
GRADUALLY;1
ADMINISTRATOR;2
ADHERE;2
806/2014;3
PROVISION’;2
181A;1
PROCURE;1
DEPOSITORY;2
108/170;1
113/170;1
‘THREAT;2
DETERIORATION;1
COMPOUNDED;1
SUSPEND;1
ATTRACTED;1
FUNCTIONALITY;1
CHECK;1
5B;1
LEGISLATIONS;1
PHASES;2
PRIORITISES;1
EQUIPMENT;1
‘B;1
DIRECTING;1
24/170;1
UNPLANNED;2
10/170;1
CRISISMANAGEMENT;1
ROLLOUT;1
TASK;2
104/170;1
CONTAIN;3
COSTINEFFECTIVE;1
COORDINATOR’;1
82;1
COMPETENCE;1
44A;1
32/170;1
HYGIENE;2
SUBMITTED;6
GIRO;1
‘CRYPTOASSET;1
RECOMMENDING;1
87/170;1
ENABLED;1
34F;1
ASK;1
EXANTE;2
MIGRATION;2
EXPANSION;1
CA;3
TRANSPOSITIONS;1
SHOWING;2
THREATLED;1
ENTERS;1
571;1
35/170;1
SUMMARISING;1
PROSECUTING;1
SERIOUSLY;2
ENDORSED;1
SANCTIONING;3
INSTITUTE;1
GRASPING;1
AGENCY’;1
100/170;1
REPAIR;1
ANONYMISED;3
BECOMING;3
IMPACTING;1
MEANT;1
MESSAGE;1
LAST;2
332;1
202X;2
BILATERAL;1
ATTESTATION;3
COHERENTLY;1
144/170;1
55A;1
SUFFERING;1
INTERDEPENDENCE;2
PLACED;1
PROPRIETARY;1
ALERT;2
EU…/…;1
LARGEST;1
EN;171
‘INFORMATION;1
COMPLEMENTARY;2
INFRINGES;5
EXPLICITLY;2
ESCALATION;2
FLAWS;1
CRYPTOGRAPHIC;2
18/170;1
ADHOC;1
REFORM;1
SERVICES’;1
CERTIFICATIONS;1
SWIFTLY;5
26A;1
FOSTERS;1
LAYING;1
INTEGRATING;1
/170;3
EVOLVE;1
INCORRECT;2
PARTLY;1
293E;1
REDUNDANCY;2
TRIGGERING;1
SEVERE;5
2014/17/EU;1
INTENTIONALLY;2
DEPRIVING;1
86/170;1
DIRECTIVE…REFERENCE;1
COMPETITIVENESS;1
CALIBRATION;1
33/170;1
AE;1
OFFLINE;1
2015/2366’;1
OPTIN;1
141/170;1
NIST;1
OFFICIALLY;1
COMMUNICATE;4
ENTIRETY;1
‘SECURITISATION;1
REMEDIATION;5
‘IN;1
168/170;1
POSTPONED;1
INCIDENT’;4
DIMENSIONS;1
JOIN;1
FAVOURED;1
61/170;1
BORDERS;2
CYBERATTACK;2
TELECOMMUNICATION;1
33A;1
CONTAINING;1
5/170;1
SMOOTHLY;1
UNIFORM;3
BARRIERS;1
LAWMAKING;1
COSTEFFECTIVE;1
2021/XXDORA;1
COM/2018/0109;1
17/170;1
XXX/XXX;1
NOTIFIED;5
NOTIFYING;2
49A;1
STATISTICS;1
LETTERS;1
ENACTED;1
PLANS‘;1
63/170;1
“SUBSIDIARY”;1
91/170;1
19B;1
ESMA/50/164/4285;1
ALTERING;1
BARELY;1
OCCURS;2
SUPPORTS;3
MONETARY;2
CARRIES;1
57/170;1
ACTIVATION;3
HTTPS//WWWECBEUROPAEU/PAYM/POL/SHARED/PDF/G7_FUNDAMENTAL_ELEMENTS_OCT_201;1
WELLDOCUMENTED;1
MATURITY;2
ICTTHIRD;4
EULEVEL;1
12/170;1
JEOPARDIZE;1
APPOINT;2
SHORTFALL;1
INTENDS;1
DESTRUCTION;1
SECTORAL;3
PUBLISHING;1
DEVOLVED;1
342;1
INTEGRALLY;1
RESTRUCTURING;2
DISCHARGING;1
WEIGH;2
COMPULSORY;1
PREPONDERANCE;1
THEREFROM;1
CONFRONTED;1
ERODED;1
SUPPLIES;1
ABSORPTION;1
31A;4
REFRAIN;2
NONMODIFICATION;1
